10230 <= x 10260; y_342 = 5870.3 + -0.5667x; interpolation 
10260 <= x 10290; y_343 = -5415.7 + 0.5333x; interpolation 
10290 <= x 10320; y_344 = 414.7 + -0.0333x; interpolation 
10320 <= x 10350; y_345 = 414.7 + -0.0333x; interpolation 
10350 <= x 10380; y_346 = 4554.7 + -0.4333x; interpolation 
10380 <= x 10410; y_347 = -4095.0 + 0.4x; interpolation 
10410 <= x 10440; y_348 = 4579.7 + -0.4333x; interpolation 
10440 <= x 10470; y_349 = -2728.3 + 0.2667x; interpolation 
10470 <= x 10500; y_350 = 2506.7 + -0.2333x; interpolation 
10500 <= x 10530; y_351 = -4492.7 + 0.4333x; interpolation 
10530 <= x 10560; y_352 = -280.6 + 0.0333x; interpolation 
10560 <= x 10590; y_353 = 422.6 + -0.0333x; interpolation 
10590 <= x 10620; y_354 = 70.0 + 0.0x; interpolation 
10620 <= x 10650; y_355 = -992.0 + 0.1x; interpolation 
10650 <= x 10680; y_356 = 1492.6 + -0.1333x; interpolation 
10680 <= x 10710; y_357 = 5409.0 + -0.5x; interpolation 
10710 <= x 10740; y_358 = -6015.4 + 0.5667x; interpolation 
10740 <= x 10770; y_359 = 5798.6 + -0.5333x; interpolation 
10770 <= x 10800; y_360 = -6407.0 + 0.6x; interpolation 
10800 <= x 10830; y_361 = 7633.0 + -0.7x; interpolation 
10830 <= x 10860; y_362 = -1031.0 + 0.1x; interpolation 
10860 <= x 10890; y_363 = -5736.6 + 0.5333x; interpolation 
10890 <= x 10920; y_364 = 71.0 + 0.0x; interpolation 
10920 <= x 10950; y_365 = -657.4 + 0.0667x; interpolation 
10950 <= x 10980; y_366 = 1168.0 + -0.1x; interpolation 
10980 <= x 11010; y_367 = -1028.0 + 0.1x; interpolation 
11010 <= x 11040; y_368 = 6679.0 + -0.6x; interpolation 
11040 <= x 11070; y_369 = -6569.0 + 0.6x; interpolation 
11070 <= x 11100; y_370 = 6346.4 + -0.5667x; interpolation 
11100 <= x 11130; y_371 = -5863.6 + 0.5333x; interpolation 
11130 <= x 11160; y_372 = 6379.4 + -0.5667x; interpolation 
11160 <= x 11190; y_373 = -316.6 + 0.0333x; interpolation 
