10770 <= x 10800; y_360 = -7474.0 + 0.7x; interpolation 
10800 <= x 10830; y_361 = 8366.4 + -0.7667x; interpolation 
10830 <= x 10860; y_362 = -1380.6 + 0.1333x; interpolation 
10860 <= x 10890; y_363 = -6449.0 + 0.6x; interpolation 
10890 <= x 10920; y_364 = 1900.4 + -0.1667x; interpolation 
10920 <= x 10950; y_365 = -2104.0 + 0.2x; interpolation 
10950 <= x 10980; y_366 = 1181.0 + -0.1x; interpolation 
10980 <= x 11010; y_367 = -1380.6 + 0.1333x; interpolation 
11010 <= x 11040; y_368 = 7794.0 + -0.7x; interpolation 
11040 <= x 11070; y_369 = -6925.6 + 0.6333x; interpolation 
11070 <= x 11100; y_370 = 7095.6 + -0.6333x; interpolation 
11100 <= x 11130; y_371 = -7704.0 + 0.7x; interpolation 
11130 <= x 11160; y_372 = 7878.0 + -0.7x; interpolation 
11160 <= x 11190; y_373 = -305.6 + 0.0333x; interpolation 
11190 <= x 11220; y_374 = -5155.4 + 0.4667x; interpolation 
11220 <= x 11250; y_375 = 5317.4 + -0.4667x; interpolation 
11250 <= x 11280; y_376 = -6308.4 + 0.5667x; interpolation 
11280 <= x 11310; y_377 = 6476.4 + -0.5667x; interpolation 
11310 <= x 11340; y_378 = -6719.0 + 0.6x; interpolation 
11340 <= x 11370; y_379 = 6889.0 + -0.6x; interpolation 
11370 <= x 11400; y_380 = -6755.0 + 0.6x; interpolation 
11400 <= x 11430; y_381 = 845.4 + -0.0667x; interpolation 
11430 <= x 11460; y_382 = 21800.0 + -1.9x; interpolation 
11460 <= x 11490; y_383 = -14872.0 + 1.3x; interpolation 
11490 <= x 11520; y_384 = 831.4 + -0.0667x; interpolation 
11520 <= x 11550; y_385 = -8384.6 + 0.7333x; interpolation 
11550 <= x 11580; y_386 = 7785.4 + -0.6667x; interpolation 
11580 <= x 11610; y_387 = -7655.4 + 0.6667x; interpolation 
11610 <= x 11640; y_388 = 8212.0 + -0.7x; interpolation 
11640 <= x 11670; y_389 = -7696.4 + 0.6667x; interpolation 
11670 <= x 11700; y_390 = 7474.6 + -0.6333x; interpolation 
11700 <= x 11730; y_391 = -7344.6 + 0.6333x; interpolation 
11730 <= x 11760; y_392 = 7512.6 + -0.6333x; interpolation 
11760 <= x 11790; y_393 = -8167.0 + 0.7x; interpolation 
11790 <= x 11820; y_394 = 2444.0 + -0.2x; interpolation 
11820 <= x 11850; y_395 = 4808.0 + -0.4x; interpolation 
11850 <= x 11880; y_396 = -5857.0 + 0.5x; interpolation 
11880 <= x 11910; y_397 = 2459.0 + -0.2x; interpolation 
11910 <= x 11940; y_398 = -3892.6 + 0.3333x; interpolation 
11940 <= x 11970; y_399 = 2077.4 + -0.1667x; interpolation 
11970 <= x 12000; y_400 = -1913.4 + 0.1667x; interpolation 
12000 <= x 12030; y_401 = 887.4 + -0.0667x; interpolation 
12030 <= x 12060; y_402 = 7703.6 + -0.6333x; interpolation 
12060 <= x 12090; y_403 = -7974.4 + 0.6667x; interpolation 
12090 <= x 12120; y_404 = 8146.4 + -0.6667x; interpolation 
12120 <= x 12150; y_405 = -7206.0 + 0.6x; interpolation 
12150 <= x 12180; y_406 = 7778.6 + -0.6333x; interpolation 
12180 <= x 12210; y_407 = -5619.4 + 0.4667x; interpolation 
12210 <= x 12240; y_408 = 5777.4 + -0.4667x; interpolation 
