0 <= x 30; y_1 = 80.0 + -0.5x; interpolation 
10680 <= x 10710; y_357 = 437.6 + -0.0333x; interpolation 
10710 <= x 10740; y_358 = 5436.0 + -0.5x; interpolation 
10740 <= x 10770; y_359 = 782.4 + -0.0667x; interpolation 
10770 <= x 10800; y_360 = -5321.0 + 0.5x; interpolation 
10800 <= x 10830; y_361 = -1360.6 + 0.1333x; interpolation 
10830 <= x 10860; y_362 = 6220.4 + -0.5667x; interpolation 
10860 <= x 10890; y_363 = 1152.0 + -0.1x; interpolation 
10890 <= x 10920; y_364 = -299.6 + 0.0333x; interpolation 
10920 <= x 10950; y_365 = -3575.6 + 0.3333x; interpolation 
10950 <= x 10980; y_366 = 3359.0 + -0.3x; interpolation 
10980 <= x 11010; y_367 = -6523.0 + 0.6x; interpolation 
11010 <= x 11040; y_368 = 1184.0 + -0.1x; interpolation 
11040 <= x 11070; y_369 = 6336.4 + -0.5667x; interpolation 
11070 <= x 11100; y_370 = -1044.0 + 0.1x; interpolation 
11100 <= x 11130; y_371 = -1044.0 + 0.1x; interpolation 
11130 <= x 11160; y_372 = -4012.4 + 0.3667x; interpolation 
11160 <= x 11190; y_373 = 80.0 + 0.0x; interpolation 
11190 <= x 11220; y_374 = -292.6 + 0.0333x; interpolation 
11220 <= x 11250; y_375 = 6813.0 + -0.6x; interpolation 
11250 <= x 11280; y_376 = -6687.0 + 0.6x; interpolation 
11280 <= x 11310; y_377 = 6473.4 + -0.5667x; interpolation 
11310 <= x 11340; y_378 = 440.6 + -0.0333x; interpolation 
11340 <= x 11370; y_379 = -314.6 + 0.0333x; interpolation 
11370 <= x 11400; y_380 = -6379.4 + 0.5667x; interpolation 
11400 <= x 11430; y_381 = -679.4 + 0.0667x; interpolation 
11430 <= x 11460; y_382 = 1606.6 + -0.1333x; interpolation 
11460 <= x 11490; y_383 = 5427.4 + -0.4667x; interpolation 
11490 <= x 11520; y_384 = -5297.4 + 0.4667x; interpolation 
11520 <= x 11550; y_385 = -1456.6 + 0.1333x; interpolation 
11550 <= x 11580; y_386 = 4703.0 + -0.4x; interpolation 
11580 <= x 11610; y_387 = -4175.4 + 0.3667x; interpolation 
11610 <= x 11640; y_388 = 856.4 + -0.0667x; interpolation 
11640 <= x 11670; y_389 = 467.6 + -0.0333x; interpolation 
11670 <= x 11700; y_390 = 79.0 + 0.0x; interpolation 
11700 <= x 11730; y_391 = 79.0 + 0.0x; interpolation 
11730 <= x 11760; y_392 = 3988.6 + -0.3333x; interpolation 
11760 <= x 11790; y_393 = -5419.4 + 0.4667x; interpolation 
11790 <= x 11820; y_394 = 1654.6 + -0.1333x; interpolation 
11820 <= x 11850; y_395 = 6382.6 + -0.5333x; interpolation 
11850 <= x 11880; y_396 = -1516.6 + 0.1333x; interpolation 
11880 <= x 11910; y_397 = -5477.4 + 0.4667x; interpolation 
11910 <= x 11940; y_398 = 5639.4 + -0.4667x; interpolation 
11940 <= x 11970; y_399 = 1261.0 + -0.1x; interpolation 
11970 <= x 12000; y_400 = -734.4 + 0.0667x; interpolation 
12000 <= x 12030; y_401 = -5934.0 + 0.5x; interpolation 
12030 <= x 12060; y_402 = 883.4 + -0.0667x; interpolation 
12060 <= x 12090; y_403 = 2089.4 + -0.1667x; interpolation 
12090 <= x 12120; y_404 = -1941.4 + 0.1667x; interpolation 
